county,counts,RUCC_2023,urban,share_black
1001,42.083333333333336,2.0,1.0,0.19694706296468004
1003,215.5,3.0,1.0,0.08759262275955286
1005,15.0,6.0,0.0,0.4744843422146562
1007,13.833333333333334,1.0,1.0,0.22322862752097092
1009,43.5,1.0,1.0,0.012906731879627743
1011,35.66666666666667,8.0,0.0,0.6897746967071057
1013,15.833333333333334,6.0,0.0,0.4479432772013972
1015,94.25,3.0,1.0,0.21487652995490658
1017,75.0,6.0,0.0,0.4012459091692025
1019,57.25,8.0,0.0,0.046726726726726724
1021,45.333333333333336,1.0,1.0,0.08825824286064606
1023,9.0,9.0,0.0,0.41307066916823015
1025,37.08333333333333,9.0,0.0,0.45373939861218193
1027,18.25,9.0,0.0,0.1327552171460801
1029,20.916666666666664,8.0,0.0,0.0259869732819354
1031,43.0,4.0,0.0,0.16952283996003242
1033,55.83333333333333,3.0,1.0,0.163781718290514
1035,55.0,9.0,0.0,0.48089658685685177
1037,27.25,8.0,0.0,0.30683777054204175
1039,21.666666666666664,6.0,0.0,0.12325953587623366
1041,25.166666666666668,8.0,0.0,0.2449624060150376
1043,79.08333333333334,4.0,0.0,0.011236212971570889
1045,59.33333333333333,4.0,0.0,0.2070262726776288
1047,19.583333333333336,4.0,0.0,0.7170982074459936
1049,53.75,6.0,0.0,0.015568661430527993
1051,74.33333333333334,2.0,1.0,0.20827117710508802
1053,37.0,6.0,0.0,0.31191192819761926
1055,60.833333333333336,3.0,1.0,0.15554567595778404
1057,9.583333333333336,8.0,0.0,0.12746715551481821
1059,25.666666666666664,6.0,0.0,0.04373478179434351
1061,57.83333333333333,3.0,1.0,0.09615095474364757
1063,8.0,2.0,1.0,0.7918736466692141
1065,16.333333333333336,2.0,1.0,0.5897833861934003
1067,35.83333333333333,3.0,1.0,0.26594815030585495
1069,78.83333333333334,3.0,1.0,0.27301020168304263
1071,29.333333333333332,6.0,0.0,0.03539620918017812
1073,1002.0000000000001,1.0,1.0,0.42873243625009294
1075,23.083333333333332,8.0,0.0,0.1112068346614976
1077,66.0,3.0,1.0,0.09984787126909644
1079,32.0,3.0,1.0,0.10435492157514582
1081,98.16666666666667,3.0,1.0,0.22353576467719177
1083,69.0,2.0,1.0,0.13098590157779819
1085,19.25,2.0,1.0,0.7481130249661312
1087,57.333333333333336,3.0,1.0,0.8103129810159055
1089,352.83333333333337,2.0,1.0,0.2428189004812259
1091,40.25,6.0,0.0,0.5125534876527298
1093,21.166666666666664,9.0,0.0,0.03973870440936309
1095,63.49999999999999,4.0,0.0,0.029142098601549718
1097,758.0,2.0,1.0,0.36064348077757946
1099,31.25,8.0,0.0,0.4216753666418096
1101,404.5,2.0,1.0,0.5850082070266117
1103,98.08333333333334,3.0,1.0,0.13070109617643222
1105,19.416666666666664,8.0,0.0,0.70133302689037
1107,10.25,2.0,1.0,0.4014033264033264
1109,22.0,6.0,0.0,0.3651736194839643
