A11070,n_ctc,n_eitc,eip_count,county,STATEFIPS,tot_returns,tot_filers,tot_ctc,eip_amount,share_vita,share_using_pp,share_wage_earners,share_rac,share_ctc,mean_eip,mean_ctc,tot_deps,PREP,share_eitc_lt_75k,mean_eitc,tot_eitc,share_eitc_lt_75k_17,mean_eitc_17,tot_eitc_17,share_eip,tot_returns_17,share_ctc_17,mean_ctc_17,tot_ctc_17,share_using_pp_17,n_ctc_17,n_eitc_17,counts_2021,counts_2017,RUCC_2023,urban,share_black,maj_black,share_hisp,maj_hisp,share_male,adult_pop,tot_pop,share_elderly,child_pop,share_college,r_lfp,r_unemp,median_hh_inc,hh_lt_10k,hh_10k_25k,hh_25k_50k,hh_50k_75k,hh_under_75k,hh_over_75k,r_marriage,hh_inc_pct,prep_per_cap_17,prep_per_cap_21,share_ctc_dif,mean_ctc_dif,share_eitc_dif,mean_eitc_dif,tot_ctc_dif,tot_eitc_dif,state_ind_01,state_ind_02,state_ind_04,state_ind_05,state_ind_06,state_ind_08,state_ind_09,state_ind_10,state_ind_11,state_ind_12,state_ind_13,state_ind_15,state_ind_16,state_ind_17,state_ind_18,state_ind_19,state_ind_20,state_ind_21,state_ind_22,state_ind_23,state_ind_24,state_ind_25,state_ind_26,state_ind_27,state_ind_28,state_ind_29,state_ind_30,state_ind_31,state_ind_32,state_ind_33,state_ind_34,state_ind_35,state_ind_36,state_ind_37,state_ind_38,state_ind_39,state_ind_40,state_ind_41,state_ind_42,state_ind_44,state_ind_45,state_ind_46,state_ind_47,state_ind_48,state_ind_49,state_ind_50,state_ind_51,state_ind_53,state_ind_54,state_ind_55,state_ind_56,ppc17_x_maj_black,ppc21_x_maj_black,ps17_x_maj_black,ps21_x_maj_black,ppc17_x_maj_hisp,ppc21_x_maj_hisp,ps17_x_maj_hisp,ps21_x_maj_hisp,ppc17_x_urban,ppc21_x_urban,ps17_x_urban,ps21_x_urban,ppc17_x_share_college,ppc21_x_share_college,ps17_x_share_college,ps21_x_share_college,ppc17_x_hh_inc_pct,ppc21_x_hh_inc_pct,ps17_x_hh_inc_pct,ps21_x_hh_inc_pct,ppc17_x_r_marriage,ppc21_x_r_marriage,ps17_x_r_marriage,ps21_x_r_marriage
23421.0,7550.0,6080.0,21630.0,1001,01,25720.0,35720.0,23421.0,64419.0,0.009720062208398134,0.4537325038880249,0.8184292379471229,0.20956454121306375,0.29354587869362364,2978.2246879334257,3102.119205298013,15430.0,11670.0,0.34292160180485054,2286.842105263158,13904.0,0.28450704225352114,2727.7227722772277,13775.0,0.8608870967741935,24150.0,0.14202898550724638,1283.0903790087464,4401.0,0.46252587991718425,3430.0,5050.0,26.166666666666668,42.083333333333336,2.0,1.0,0.20925840072803448,0.0,3.0,1.0,48.4,43262.0,58239.0,0.15135905492882776,14977.0,0.2630631441559026,59.1,1.6,62660.0,1213.0,3437.0,4414.0,3880.0,12944.0,8912.0,0.504,0.7000932835820896,0.0009727551507866796,0.0006048418165287473,0.15151689318637726,1652.2270770181299,0.058414559551329404,-795.4846274101092,18447.870000000003,-1661.7499999999982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0009727551507866796,0.0006048418165287473,0.46252587991718425,0.4537325038880249,0.0009727551507866796,0.0006048418165287473,0.46252587991718425,0.4537325038880249,0.0002558960284597931,0.00015911158997301985,0.12167351222448994,0.11936029907851413,0.0006810193476356372,0.0004234456933813665,0.32381126201291677,0.31765507851489055,0.0004902685959964865,0.0003048402755304887,0.23311304347826087,0.22868118195956455
80320.0,26450.0,22210.0,89610.0,1003,01,111140.0,157500.0,80320.0,251073.0,0.016825625337412272,0.49928018715134065,0.7404174914522225,0.15430987943134786,0.23798812308799713,2801.841312353532,3036.672967863894,53340.0,55490.0,0.2991245791245791,2116.7041873030166,47012.0,0.24400111607142858,2567.124070897656,44899.0,0.8451276102088167,98690.0,0.11764109838889451,1310.938845822567,15220.0,0.49954402675043064,11610.0,17490.0,180.25,215.75,3.0,1.0,0.09347909356274572,0.0,4.7,1.0,48.8,173158.0,227131.0,0.20607050556727174,53973.0,0.3024283428314758,59.2,2.2,64346.0,4251.0,9754.0,19960.0,14840.0,48805.0,38385.0,0.551,0.7444029850746269,0.001245971886947181,0.0010409568140080157,0.12034702469910262,1555.3120720843935,0.05512346305315055,-784.1460128113345,63121.4,-3723.8699999999953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.001245971886947181,0.0010409568140080157,0.49954402675043064,0.49928018715134065,0.001245971886947181,0.0010409568140080157,0.49954402675043064,0.49928018715134065,0.0003768172129840429,0.00031481484421957696,0.15107627218149516,0.15099647960876905,0.0009275051919625471,0.00077489135968134,0.37186206468921984,0.37166566170407633,0.0006865305097078968,0.0005735672045184167,0.2752487587394873,0.27510338312038873
8774.0,2820.0,3440.0,8290.0,1005,01,9740.0,12390.0,8774.0,22938.0,0.011293634496919919,0.6303901437371663,0.7628336755646817,0.27002053388090347,0.28952772073921973,2766.948130277443,3111.3475177304967,5710.0,6140.0,0.42208588957055215,2550.2906976744184,8773.0,0.40153452685422,2978.980891719745,9354.0,0.8634453781512605,9150.0,0.23060109289617486,1315.1658767772512,2775.0,0.6644808743169399,2110.0,3140.0,11.0,15.0,6.0,0.0,0.48608416801931986,0.0,4.7,1.0,52.9,19429.0,25259.0,0.19007086583000118,5830.0,0.10382595648912228,45.4,3.9,36422.0,1120.0,2323.0,2217.0,1475.0,7135.0,1953.0,0.369,0.06281094527363185,0.0007720417931957384,0.0005661639816768747,0.058926627843044865,1625.210076972203,0.020551362716332178,-815.9577099688931,5638.25,-1797.0199999999986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0007720417931957384,0.0005661639816768747,0.6644808743169399,0.6303901437371663,0.0,0.0,0.0,0.0,8.015797762812468e-05,5.878251692729142e-05,0.06899036234468453,0.06545085963482657,4.8492674821374117e-05,3.5561294869007684e-05,0.04173667183209635,0.039595400819312065,0.00028488342168922747,0.00020891450923876678,0.2451934426229508,0.23261396303901435
7968.0,2510.0,2390.0,7210.0,1007,01,8230.0,11280.0,7968.0,21312.0,0.0,0.5321992709599028,0.804374240583232,0.2624544349939247,0.30498177399756987,2955.894590846047,3174.5019920318723,5130.0,4380.0,0.3757861635220126,2328.4518828451883,5565.0,0.334384858044164,2793.396226415094,5922.0,0.8839506172839506,7780.0,0.17994858611825193,1315.0,1841.0,0.5719794344473008,1400.0,2120.0,15.5,13.833333333333334,1.0,1.0,0.22514724254863466,0.0,2.8,1.0,54.9,17249.0,22412.0,0.16036052114938426,5163.0,0.10904494382022471,49.7,4.8,54277.0,528.0,1377.0,1480.0,1238.0,4623.0,2460.0,0.43799999999999994,0.451181592039801,0.0008019788586777978,0.0008986028175546408,0.12503318787931794,1688.5519920318725,0.04140130547784859,-828.0858530038677,5887.67,-1126.8599999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0008019788586777978,0.0008986028175546408,0.5719794344473008,0.5321992709599028,0.0008019788586777978,0.0008986028175546408,0.5719794344473008,0.5321992709599028,8.745173958952839e-05,9.798809375694144e-05,0.06237146529562982,0.05803363960298715,0.0003618380982405114,0.0004054330498357537,0.25806659184795816,0.24011851435411039,0.00035126674010087537,0.00039358803408893263,0.25052699228791775,0.2331032806804374
23321.0,7030.0,5860.0,20710.0,1009,01,24110.0,35250.0,23321.0,63837.0,0.0037328909166321027,0.6134384072998755,0.7967648278722522,0.18291165491497305,0.2915802571547076,3082.423949782714,3317.3541963015646,14400.0,14790.0,0.32847533632286996,2151.36518771331,12607.0,0.2591116173120729,2583.2967032967035,11754.0,0.8718166383701188,22350.0,0.14451901565995526,1360.3715170278638,4394.0,0.6281879194630873,3230.0,4550.0,33.75,43.5,1.0,1.0,0.01966578357448543,0.0,9.5,1.0,50.1,44054.0,58884.0,0.1797432239657632,14830.0,0.1376960686710471,55.1,3.3,52830.0,1784.0,2910.0,5128.0,3948.0,13770.0,7530.0,0.551,0.3987873134328358,0.0009874245244472692,0.0007661052344849503,0.14706124149475233,1780.1343820600787,0.06936371901079708,-767.7600870119645,18355.78,-675.0199999999986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0009874245244472692,0.0007661052344849503,0.6281879194630873,0.6134384072998755,0.0009874245244472692,0.0007661052344849503,0.6281879194630873,0.6134384072998755,0.0001359644751257672,0.00010548967897688838,0.08649900689671147,0.08446805705702143,0.000393772373322022,0.00030551304826708606,0.2505133727336472,0.24463145440363504,0.0005440709129704454,0.00042212398420120767,0.3461315436241611,0.3380045624222314
3822.0,1270.0,1630.0,3540.0,1011,01,4100.0,4770.0,3822.0,9444.0,0.0,0.5439024390243903,0.7658536585365854,0.3073170731707317,0.3097560975609756,2667.7966101694915,3009.4488188976375,2750.0,2230.0,0.44054054054054054,2652.7607361963187,4324.0,0.41761363636363635,3112.2448979591836,4575.0,0.8740740740740741,3830.0,0.2845953002610966,1316.51376146789,1435.0,0.5900783289817232,1090.0,1470.0,21.166666666666668,35.66666666666667,8.0,0.0,0.6970922395532447,1.0,8.5,1.0,54.5,7446.0,10386.0,0.16194877720007703,2940.0,0.10676728937275765,48.1,1.4,29063.0,520.0,1008.0,753.0,471.0,2752.0,667.0,0.318,0.027985074626865673,0.004790043871429851,0.0028426895872504256,0.025160797299879023,1521.788268438922,0.022926904176904184,-864.0759984975584,2200.45,-845.7499999999991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004790043871429851,0.0028426895872504256,0.5900783289817232,0.5439024390243903,0.004790043871429851,0.0028426895872504256,0.5900783289817232,0.5439024390243903,0.0,0.0,0.0,0.0,0.0005114200001291552,0.0003035062617588912,0.06300106370298493,0.05807098909786575,0.00013404973520792494,7.955288024021714e-05,0.016513386072249718,0.015221150345831817,0.0015232339511146926,0.0009039752887456354,0.187644908616188,0.17296097560975612
7845.0,2550.0,3120.0,7060.0,1013,01,8100.0,10300.0,7845.0,20149.0,0.0,0.5654320987654321,0.8111111111111111,0.24074074074074073,0.3148148148148148,2853.966005665722,3076.470588235294,5110.0,4580.0,0.46497764530551416,2633.653846153846,8217.0,0.41420118343195267,3060.0,8568.0,0.8830188679245283,7920.0,0.23232323232323232,1253.2608695652175,2306.0,0.6275252525252525,1840.0,2800.0,14.833333333333334,15.833333333333332,6.0,0.0,0.4524790156926125,0.0,1.6,1.0,46.8,14423.0,19181.0,0.20812262134403836,4758.0,0.13073704103671707,53.2,3.5,45236.0,410.0,1385.0,1789.0,1024.0,4608.0,1923.0,0.426,0.19838308457711443,0.0010977836326238183,0.0010284499295107352,0.0824915824915825,1660.2858056265984,0.050776461873561496,-824.1461538461535,5239.22,-1464.8399999999983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0010977836326238183,0.0010284499295107352,0.6275252525252525,0.5654320987654321,0.0,0.0,0.0,0.0,0.00014352098382777647,0.00013445650063865377,0.08204079469097018,0.07392291949977335,0.00021778170323818286,0.00020402706934945556,0.12449039524599226,0.11217216387199803,0.0004676558274977466,0.00043811966997157317,0.26732575757575755,0.24087407407407407
41817.0,13430.0,14560.0,42760.0,1015,01,49290.0,65850.0,41817.0,120153.0,0.027591803611280177,0.5400689795090282,0.7918441874619598,0.21566240616757962,0.27246906066139176,2809.939195509822,3113.7006701414743,26720.0,26620.0,0.37038921394047314,2221.565934065934,32346.0,0.3024738587095129,2580.35413153457,30603.0,0.8797428986108231,47620.0,0.1629567408651827,1264.6907216494844,9814.0,0.5709785804283914,7760.0,11860.0,69.25,94.25,3.0,1.0,0.22634313936010306,0.0,4.0,1.0,48.2,87608.0,116425.0,0.17679192613270345,28817.0,0.17998329927263937,56.5,3.9,50977.0,3651.0,7655.0,10445.0,8604.0,30355.0,13940.0,0.441,0.3389303482587065,0.001075814994064469,0.0007904529266733631,0.10951231979620907,1684.6001546775572,0.06791535523096026,-694.23423456813,30727.18,-2235.3899999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.001075814994064469,0.0007904529266733631,0.5709785804283914,0.5400689795090282,0.001075814994064469,0.0007904529266733631,0.5709785804283914,0.5400689795090282,0.00019362873203869807,0.00014226832566238557,0.10276660871950996,0.09720339676684236,0.00036462635060020875,0.00026790848571951677,0.19352196911285657,0.18304576730871916,0.0004744344123824308,0.0003485897406629531,0.2518015539689206,0.23817041996348146
12154.0,3980.0,5370.0,12410.0,1017,01,14200.0,17840.0,12154.0,34048.0,0.005633802816901409,0.6823943661971831,0.8429577464788732,0.2746478873239437,0.2802816901408451,2743.593875906527,3053.7688442211056,8250.0,9690.0,0.44527363184079605,2423.6499068901303,13015.0,0.38455414012738853,2967.287784679089,14332.0,0.8820586132952108,14210.0,0.22448979591836735,1303.7617554858934,4159.0,0.7206192821956369,3190.0,4830.0,76.75,75.0,6.0,0.0,0.4064419819716369,0.0,2.7,1.0,48.0,26914.0,34834.0,0.1960153872653155,7920.0,0.12724898432965756,56.3,1.8,47232.0,602.0,2593.0,3575.0,2420.0,9190.0,3933.0,0.433,0.24751243781094528,0.002786653786133611,0.0028516757078100616,0.05579189422247774,1580.5180605220462,0.060719491713407514,-929.3852897972397,7454.330000000001,-3180.159999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.002786653786133611,0.0028516757078100616,0.7206192821956369,0.6823943661971831,0.0,0.0,0.0,0.0,0.00035459886396389676,0.00036287283745638763,0.09169807174776168,0.08683399001087196,0.0006897314719410306,0.0007058252062863212,0.1783622352698156,0.1689010931259197,0.0012066210893958535,0.0012347755814817566,0.31202814919071076,0.2954767605633803
8493.0,2680.0,2940.0,9060.0,1019,01,10450.0,15010.0,8493.0,26595.0,0.007655502392344498,0.6832535885167464,0.7464114832535885,0.1799043062200957,0.25645933014354066,2935.430463576159,3169.0298507462685,5380.0,7140.0,0.3675,2222.7891156462583,6535.0,0.30670103092783507,2687.394957983193,6396.0,0.8796477495107632,9530.0,0.15739769150052466,1310.6666666666667,1966.0,0.7376705141657922,1500.0,2380.0,44.583333333333336,57.25,8.0,0.0,0.053933933933933934,0.0,1.8,1.0,49.5,19627.0,24975.0,0.22862862862862862,5348.0,0.1202802066772655,49.4,2.3,43475.0,666.0,1906.0,2688.0,1704.0,6964.0,2728.0,0.547,0.15764925373134328,0.00291690018851582,0.0022715307144919416,0.09906163864301601,1687.9765174129352,0.06079896907216492,-813.9671868747491,6271.42,-692.4799999999996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00291690018851582,0.0022715307144919416,0.7376705141657922,0.6832535885167464,0.0,0.0,0.0,0.0,0.0003508453575316375,0.0002732201838128473,0.08872716190358619,0.08218188283977758,0.00045984713792833357,0.0003581051219674796,0.11629320605785344,0.10771441833892738,0.0015955444031181538,0.0012425273008270922,0.40350577124868836,0.3737397129186603
